listing_name,categories,seniority,required_skills
postgresql developer,data,mid,"['sql', 'postgresql', 'etl', 'python', 'big data', 'power bi']"
qa tech lead,testing,senior,"['test planning', 'test automation', 'python', 'javascript', 'software testing']"
principal engineer,python,senior,"['python', 'django', 'django rest framework', 'english', 'aws', 'project management', 'process management', 'polish', 'coaching skills', 'quality control']"
remote python developer,python,mid,"['python', 'english', 'http protocol']"
administrator systemw it,python,mid,"['c', 'c++', 'python']"
embedded system tester (m/f),python,junior,"['linux', 'c', 'python', 'arm cortex', 'emc', 'pspice / ltspice']"
sysops engineer,devops,mid,"['kubernetes', 'ias', 'ci/cd', 'ansible', 'posix shell', 'python', 'go', 'azure', 'aws', 'gcp']"
senior python engineer,python,senior,"['python', 'postresql', 'aws', 'docker']"
observability platform engineer,other,mid,"['influxdb', 'python', 'linux', 'elk stack']"
cloud devops engineer,devops,senior,"['python', 'sql', 'git', 'aws']"
senior python developer/fullstack dev,python,senior,"['python', 'git', 'english']"
data engineer (f/m),data,mid,"['python', 'sql', 'bazy danych', 'r']"
data scientist,data,mid,"['sql', 'python', 'sas 4gl', 'j.angielski']"
sr. backend developer / lead architect,python,senior,"['python', 'django', 'azure devops', 'informatica powercenter', 'react']"
software test engineer (tests automation) (m/f),python,junior,"['linux', 'python', 'bash', 'git', 'svn']"
senior data scientist,data,senior,"['data', 'computer science', 'cybersecurity', 'data analytics', 'spl', 'cloud', 'python', 'bash', 'windows', 'linux']"
senior aws cloud engineer (java),python,senior,"['polish', 'english', 'python', 'aws', 'microservice architecture', 'api', 'java', 'docker', 'elasticsearch', 'devops']"
lead python engineer,python,senior,"['python', 'django', 'spark', 'flask', 'big data', 'data science']"
automation tester - tribe billing,testing,mid,"['robot framework', 'python', 'jira', 'git', 'confluence']"
senior data engineer,data,senior,"['python', 'sql', 'etl tools']"
qa engineer with automation,testing,mid,"['testing', 'python', 'test automation', 'cucumber', 'mobile app testing', 'jira']"
value-added service engineer,admin,mid,"['vas', 'smsc', 'ims', 'vpbx', 'perl', 'python', 'bash', 'linux']"
python developer / ml engineer,python,mid,"['python', 'machine learning', 'databricks', 'pyspark', 'spark', 'sql', 'azure']"
mid aws data engineer,data,mid,"['amazon aws', 'big data', 'linux', 'python', 'postgresql', 'git']"
software engineer,python,senior,"['python', 'c++', 'node.js']"
python dev - in-house engineering tools,python,mid,"['pytest', 'pandas', 'ai/ml', 'git', 'dash', 'django', 'flask', 'selenium', 'java', 'ci/cd']"
senior operations engineer & team lead - remote,pm,senior,"['linux', 'english', 'http', 'ruby', 'python', 'unix']"
mentor / trener kursu python,python,mid,['python']
devops engineer / linux administrator,devops,senior,"['linux', 'docker', 'kubernetes', 'ci/dc', 'gitlab', 'terraform', 'amazon aws', 'nginx', 'bash', 'python']"
senior qa automation engineer,testing,senior,"['python', 'english', 'robot framework', 'rest api']"
technical support lead,support,senior,"['technical support', 'api', 'sql', 'english', 'nosql', 'mongodb', 'java', 'scala', 'python']"
computer vision & machine learning engineer/researcher,python,mid,"['python', 'deep learning', 'pytorch', 'computer vision', 'machine learning', 'docker', 'tensorflow']"
devops/mlops engineer,devops,mid,"['python', 'docker', 'cloud', 'kubernetes', 'ansible', 'terraform']"
junior computer vision engineer,python,junior,"['python', 'deep learning', 'machine learning', 'pytorch', 'computer vision', 'docker', 'tensorflow']"
gcp data engineer,python,senior,"['python', 'data', 'gcp', 'ci/cd']"
lead test automation engineer,testing,senior,"['test planning', 'testing analysis', 'python/java']"
site reliability engineer (devops),devops,mid,"['java', 'linux', 'puppet', 'jenkins', 'ansible', 'elasticsearch', 'kibana', 'python', 'ruby', 'go']"
senior devops engineer,devops,senior,"['aws', 'kubernetes', 'python', 'go', 'bash']"
staff devops engineer,devops,senior,"['data streaming tools', 'linux', 'terraform', 'docker', 'ci/cd', 'mysql or postgres', 'teamwork', 'ruby or python', 'polish', 'english']"
python developer,python,senior,"['python', 'rest api', 'swagger']"
data engineer,data,senior,"['python', 'data integration', 'etl tools', 'spark', 'aws', 'java', 'hadoop', 'kafka', 'nifi']"
devops/cloud engineer,devops,mid,"['aws', 'terraform', 'ci/cd', 'docker/kubernetes', 'python']"
senior system integration test engineer,testing,senior,"['python', 'linux os']"
site reliability engineer,devops,mid,"['linux', 'python / golang', 'terraform', 'google cloud platform', 'reliability engineering', 'puppet', 'ansible', 'ci/cd', 'troubleshooting', 'monitoring tools']"
staff python backend engineer,python,senior,"['python', 'backend', 'databases', 'linux / unix', 'children']"
linux administrator,admin,mid,"['rhel', 'bash', 'python', 'ansible', 'git', 'kubernetes']"
system integration cloud specialist,devops,mid,"['hardware', 'software development', 'cloud', 'tcp', 'ip', 'docker', 'openshift', 'test automation', 'python']"
test system developer,testing,mid,"['labview', 'english', 'testing', 'python']"
data engineer,data,mid,"['data science', 'python', 'sql', 'git', 'pytest', 'numpy', 'scikitlearn', 'pandas', 'azure data factory', 'docker']"
applications administrator,admin,mid,"['linux', 'bash', 'perl', 'python', 'ansible']"
junior data scientist,data,junior,"['english', 'nlp', 'tensorflow', 'git', 'python']"
senior/lead data scientist,data,senior,"['machine learning', 'python', 'sql', 'nlp', 'computer vision', 'aws', 'tensorflow', 'spark', 'kubernetes', 'bi tools']"
qa automation lead,testing,senior,"['python', 'english', 'test automation', 'robot framework', 'team leadership']"
mid data analyst & engineer (python&sql),python,mid,"['python', 'sql', 'schema design', 'redshift', 'postgresql', 'aws']"
senior qa engineer,testing,senior,"['javascript', 'cypress', 'ci/cd', 'aws', 'python']"
software engineer (python developer),python,mid,"['python', 'sql', 'nosql', 'java', 'aws']"
remote mid data engineer with python,python,mid,"['python', 'sql', 'scala', 'databases', 'apache spark', 'apache airflow', 'nosql']"
mid python developer,python,mid,"['python', 'rest api', 'django', 'flask', 'git', 'aws']"
senior jira and confluence administrator,admin,mid,"['jira', 'confluence', 'bash', 'groovy', 'python', 'linux']"
jira and confluence administrator,admin,mid,"['jira', 'confluence', 'bash', 'python', 'groovy', 'linux']"
full stack developer (python + vue),python,mid,"['python', 'vue.js', 'pytest', 'postresql', 'aws']"
qa engineer (remote),testing,senior,"['automated testing', 'ci/cd', 'python', 'php']"
python developer (mid/senior),python,mid,"['django', 'sql', 'software architecture', 'react', 'docker', 'aws']"
aws data engineer,python,mid,"['python', 'aws', 'ec2', 's3', 'lambdas', 'api gateway']"
